Date,Open,High,Low,Close,Adj Close,Volume
1998-01-20,77.812500,78.843750,77.406250,78.812500,50.479649,1744600
1998-01-21,78.093750,78.375000,77.281250,77.843750,49.859188,1839600
1998-01-22,77.187500,77.859383,76.937500,77.187500,49.438869,1662600
1998-01-23,77.500000,77.750000,76.312500,77.000000,49.318752,1693700
1998-01-26,77.375000,77.671883,76.937500,77.312500,49.518932,1172800
1998-01-27,77.125000,78.562500,77.078117,78.218750,50.099373,1454500
1998-01-28,78.375000,79.234383,78.218750,79.125000,50.679806,1181200
1998-01-29,79.062500,80.250000,78.890617,79.406250,50.859993,1468500
1998-01-30,79.937500,79.937500,78.968750,79.234383,50.749874,1095600
1998-02-02,80.625000,81.312500,80.406250,81.015617,51.890739,955600
1998-02-03,81.000000,81.671883,80.656250,81.656250,52.301105,619400
1998-02-04,81.218750,81.656250,80.812500,81.218750,52.020847,753200
1998-02-05,81.812500,81.906250,80.734383,81.234383,52.030849,1067600
1998-02-06,81.500000,82.171883,81.359383,82.109383,52.591301,1069700
1998-02-09,82.093750,82.250000,81.437500,81.781250,52.381149,515900
1998-02-10,82.031250,83.343750,81.921883,83.156250,53.261856,892100
1998-02-11,82.968750,83.390617,82.843750,83.156250,53.261856,515000
1998-02-12,82.734383,84.109383,82.375000,83.687500,53.602081,1065000
1998-02-13,83.343750,83.843750,83.171883,83.640617,53.572117,596700
1998-02-17,84.312500,84.718750,83.890617,84.062500,53.842293,840600
1998-02-18,84.078117,84.703117,83.843750,84.625000,54.202560,773000
1998-02-19,84.640617,84.703117,83.828117,83.828117,53.692188,804800
1998-02-20,84.078117,84.468750,83.312500,84.281250,53.982399,540600
1998-02-23,85.000000,85.000000,83.968750,84.250000,53.962337,639200
1998-02-24,84.125000,84.406250,83.531250,84.000000,53.802330,702700
1998-02-25,84.250000,85.156250,84.078117,84.687500,54.242622,687400
1998-02-26,84.609383,85.218750,84.406250,85.156250,54.542877,439800
1998-02-27,85.109383,85.953117,84.890617,85.593750,54.823101,451300
1998-03-02,85.750000,85.859383,85.281250,85.718750,54.903126,1062800
1998-03-03,85.218750,86.125000,85.187500,86.109383,55.153320,596600
1998-03-04,85.625000,85.875000,85.109383,85.531250,54.783024,691700
1998-03-05,84.500000,85.265617,84.218750,84.781250,54.302654,778300
1998-03-06,85.093750,86.031250,85.093750,86.031250,55.103325,933100
1998-03-09,85.625000,86.578117,85.593750,85.875000,55.003265,685300
1998-03-10,86.375000,86.750000,86.156250,86.718750,55.543613,563700
1998-03-11,86.937500,87.234383,86.734383,87.000000,55.723812,406600
1998-03-12,86.937500,87.062500,86.312500,86.890617,55.653706,576700
1998-03-13,87.187500,87.250000,86.093750,86.156250,55.183327,458900
1998-03-16,86.562500,87.468750,86.343750,87.468750,56.024036,733000
1998-03-17,87.281250,87.781250,87.078117,87.765617,56.214172,499900
1998-03-18,87.593750,88.015617,87.281250,87.984383,56.354263,410900
1998-03-19,88.000000,88.296883,87.843750,88.234383,56.514374,730000
1998-03-20,88.562500,89.406250,88.281250,89.156250,57.104866,754300
1998-03-23,89.187500,89.187500,88.390617,88.484383,56.674530,551600
1998-03-24,88.968750,89.859383,88.921883,89.437500,57.285004,470300
1998-03-25,90.062500,90.062500,88.250000,88.875000,56.924728,966200
1998-03-26,88.843750,89.296883,88.515617,88.625000,56.764626,412800
1998-03-27,89.343750,89.406250,87.875000,88.265617,56.534416,584100
1998-03-30,88.281250,88.562500,87.687500,88.156250,56.464367,562400
1998-03-31,88.468750,89.312500,88.062500,88.187500,56.484375,620000
1998-04-01,88.359383,89.203117,87.718750,88.937500,56.964764,373700
1998-04-02,88.906250,90.250000,88.828117,90.156250,57.745399,440600
1998-04-03,90.250000,90.578117,89.812500,90.093750,57.705341,493300
1998-04-06,90.875000,91.250000,90.343750,90.375000,57.885468,610500
1998-04-07,90.375000,90.390617,89.250000,89.890617,57.575256,707300
1998-04-08,90.062500,90.062500,88.828117,89.281250,57.184959,949500
